name,mass,radius,distance,gravity
Sun,1.0,1.0,1.5813e-05,274.2691614595739
Sirius,2.1,1.71,8.6,196.97179955032502
Canopus,15.0,71.0,310.0,0.8161153386021839
Alpha Centauri,1.1,1.2,4.4,209.51116500384126
Arcturus,1.1,26.0,37.0,0.4462959727892475
Vega,2.2,2.7,25.0,82.76984296448046
Capella,2.6,12.0,43.0,4.952082081908975
Rigel,23.0,78.9,860.0,1.0133297854321701
Procyon,1.5,1.9,11.4,113.96225545411659
Betelgeuse,20.0,950.0,640.0,0.006077986957552886
Achernar,6.7,9.3,144.0,21.246425965766498
Hadar,10.5,8.6,390.0,38.93761756794925
Altair,1.8,1.8,17.0,152.37175636642996
Acrux,18.0,8.9,320.0,62.32603088337749
Aldebaran,1.5,44.0,65.0,0.21250193294905007
Antares,12.0,680.0,600.0,0.0071177118025841
Spica,11.43,7.47,260.0,56.18003500809
Pollux,1.9,8.8,34.0,6.729227876719916
Fomalhaut,1.9,1.8,25.0,160.83685394234269
Deneb,19.0,203.0,2600.0,0.12645572733460908
Mimosa,16.0,8.4,350.0,62.192553618951
Regulus,3.8,3.1,77.0,108.45190567600218
Adhara,12.5,14.0,430.0,17.491655705329972
Shaula,14.5,8.8,700.0,51.35463379602042
Castor,2.8,2.4,52.0,133.3252868206262
Gacrux,1.5,84.0,88.0,0.05830551901776656
Bellatrix,8.6,5.8,240.0,70.11637302474244
Elnath,5.0,4.2,130.0,77.74069202368877
Miaplacidus,3.5,6.8,110.0,20.759992757536963
Alnilam,32.0,42.0,2000.0,4.9754042895160815
Gamma Velorum,9.0,6.0,1100.0,68.56729036489348
Alnair,4.0,3.4,101.0,94.90282403445462
Alioth,2.9,4.2,81.0,45.089601373739484
Alnitak,33.0,20.0,1050.0,22.627205820414854
Dubhe,4.25,30.0,120.0,1.2951599291146547
Mirfak,8.5,68.0,590.0,0.5041712526830403
Wezen,17.0,200.0,1600.0,0.11656439362031895
Sargas,5.7,26.0,270.0,2.3126245862715558
Kaus Australis,3.5,6.8,140.0,20.759992757536963
Avior,9.0,130.0,630.0,0.14606050018557193
Alkaid,6.1,3.4,104.0,144.7268066525433
Menkalinan,2.39,2.77,81.0,85.43097080483021
Atria,7.0,92.0,390.0,0.22682941046987445
Alhena,2.8,3.3,109.0,70.51915997124031
Peacock,5.9,4.8,180.0,70.23385645015132
Alsephina[2],2.4,2.9,80.0,78.26943965552645
Mirzam,13.5,10.0,500.0,37.0263367970425
Polaris,5.4,39.0,430.0,0.973736667903813
Alphard,3.0,50.0,180.0,0.32912299375148873
Scheat,2.1,95.0,196.0,0.0638188630543053
Almaaz,15.0,140.0,653.0,0.20989986846395964
Rasalgethi,2.8,280.0,360.0,0.00979532719498478
Tau Ceti,0.7829999999999999,0.893,11.9,269.2996711047934
Delta Pavonis,0.991,1.22,19.92,182.61269753187165
Ran,0.82,0.74,10.48,410.7025427261697
V382 Carinae,20.0,485.0,8900.0,0.023319728894426524
Eta Carinae,100.0,881.0,7500.0,0.035336632665075154
Delta Cephei,4.5,44.5,887.0,0.6232603088337749
Mu Cephei,19.2,972.0,6000.0,0.005573726798954914
Titawin,1.27,1.48,44.25,159.02202111653529
Rho Cassiopeiae,22.0,800.0,8154.0,0.009428002425172857
P Cygni,30.0,76.0,5545.0,1.4245281931764575
VV Cephei,18.2,750.0,4900.0,0.008874131090780881
61 Cygni,0.7,0.665,11.41,434.14192553949164
R Doradus,0.8,298.0,178.0,0.00247078204999391
Polaris Australis,1.59,3.74,281.0,31.17675417660804
R Coronae Borealis,0.85,85.0,4566.0,0.032266960171714584
54 Piscium,0.76,0.94,36.1,235.9037604224493
Mira,1.2,370.0,300.0,0.00240411244522636
RW Cephei,13.9,1158.0,14000.0,0.0028429856016179986
Lacaille 8760,0.6,0.51,12.87,632.6854935630311
V838 Monocerotis,0.5,450.0,19896.0,0.0006772078060730221
HD 140283,2.0,1.4,190.0,279.86649128527955
II Pegasi,0.8,3.4,130.0,18.98056480689093
VY Canis Majoris,17.0,1420.0,3900.0,0.0023123267927061875
Pistol Star,100.0,320.0,25000.0,0.2678409779878652
S Doradus,24.0,380.0,169000.0,0.04558490218164664
UY Scuti,7.0,755.0,5100.0,0.0033680700499399453
Barnard's Star,0.14,0.2,5.98,959.9420651085088
Luhman 16,0.04,0.02,6.52,27426.916145957402
Proxima Centauri,0.12,0.15,4.25,1462.7688611177273
KIC 8462852,1.43,1.58,1470.0,157.10819615734286
R136a1,290.0,32.0,163000.0,77.67388361648091
Melnick 42,189.0,21.1,163000.0,116.43240609119171
WR 102,19.0,0.39,18134.0,34261.104981800825
VFTS 352,57.48,14.47,164000.0,75.29335961731134
YBP 1194,1.01,0.99,2772.0,282.6363157577489
Gliese 1214,0.16,0.21,47.5,995.0808579032164
NML Cygni,50.0,1900.0,5251.0,0.003798741848470553
VB 10,0.075,0.1,18.72,2057.0187109468047
WOH G64,20.0,1600.0,163000.0,0.0021427278239029217
TRAPPIST-1,0.08900000000000001,0.12,39.6,1695.1357895765334
2MASS J0523-1403,0.07,0.086,40.3,2595.8411711966182
WISE 0855−0714,0.003,0.086,7.27,111.25033590842645
Icarus,33.0,0.2,14400000000.0,226272.05820414852
SDSS J000013.54+255418.6 [de],0.045820224000000014,0.10173537,46.1,1214.2000569364611
2MASS J00040288-6410358,0.018137172,0.16750369,192.0,177.29553270309606
2MASS J00242463-0158201,0.075412452,0.11201167,37.7,1648.517250730695
2MASS J00274197+0503417,0.029592228,0.14797872,236.0,370.6432628229708
2MASSW J0030300-145033,0.051547752,0.10070774,87.2,1393.9943359838126
2MASS J00332386-1521309 [de],0.027683052000000003,0.14695109,131.0,351.5971318717637
2MASS J00345157+0523050,0.040092696,0.09659722,31.0,1178.4549471797168
2MASS 0036+1821,0.040092696,0.09659722,28.6,1178.4549471797168
2MASSW J0045214+163445,0.021955524,0.16647606,57.0,217.27872675245442
WISEP J004701.06+680352.1 [fr],0.011455056000000002,0.13359189999999999,40.0,176.04104671648304
2MASS J00501994-3322402 [de],0.03818352,0.09659722,34.0,1122.3380449330632
2MASS J00584253-0651239 [de],0.027683052000000003,0.14695109,96.0,351.5971318717637
2MASSI J0103320+193536,0.049638576,0.10070774,70.0,1342.3649161325598
SDSSp J010752.33+004156.1 [de],0.049638576,0.10070774,51.0,1342.3649161325598
2MASSI J0117474-340325 [de],0.01909176,0.16647606,163.0,188.93802326300386
2MASS J01415823-4633574 [de],0.01909176,0.16544843,130.0,191.292368446984
SDSS J015141.69+124429.6,0.044865635999999987,0.09968011,70.0,1238.4366334263514
SDSS J020742.48+000056.2 [de],0.044865635999999987,0.09968011,111.0,1238.4366334263514
2MASS J02103857-3015313,0.01431882,0.15722739,101.0,158.86484308965376
2MASS J02340093-6442068,0.01909176,0.16647606,155.0,188.93802326300386
2MASS J02411151-0326587 [de],0.025773876,0.14489583,152.0,336.70141347991887
2MASS J02431371−2453298,0.031501404,0.10173537,35.0,834.7625391438166
LP 771-21,0.074457864,0.11098404,53.0,1657.9311541328586
Teegarden's star,0.07636704,0.13050901,12.578,1229.7078510792414
2MASS J02535980+3206373,0.06204822,0.1952497,184.0,446.4014077055786
WISE J0254+0223,0.06204822,0.1952497,24.0,446.4014077055786
DEN 0255-4700,0.07636704,0.09968011,16.2,2107.9772483852794
2MASS J03185403-3421292 [de],0.046774812,0.09968011,45.0,1291.1360646359838
2MASS J03205965+1854233,0.084003744,0.11817745,47.0,1649.7053854867902
2MASS J03231002-4631237,0.021955524,0.17058658,192.0,206.9336226190817
SDSS J032553.17+042540.1,0.04295646,0.09762485,59.0,1236.1885136462174
2MASS J03264225-2102057 [de],0.017182584,0.13359189999999999,80.0,264.0615700747245
2MASS J03284265+2302051 [de],0.051547752,0.10070774,98.0,1393.9943359838126
2MASS J03341218-4953322,0.06968492400000001,0.10687352,27.0,1673.3068242582376
LP 944-20,0.06968492400000001,0.14695109,20.9,885.0548491944395
2MASP J0345432+254023,0.070639512,0.10790115,88.0,1664.073567827919
Teide 1,0.05250234,0.38844414,380.0,95.4329811379458
2MASS J03510004-0052452,0.097367976,0.13050901,48.0,1567.8775101260333
2MASS J03552337+1133437,0.01909176,0.13564716,29.8,284.57813834448314
2MASS J04151954−0935066,0.02863764,0.09762485,18.6,824.1256757641451
2MASS J04285096-2253227 [de],0.07636704,0.11201167,85.0,1669.384557701969
2MASS J04351612-1606574,0.0954588,0.12948138,34.0,1561.6306004391138
2MASS J04362788-4114465,0.037228932,0.20244311,142.0,249.14464404913375
2MASS J04390101-2353083 [de],0.045820224000000014,0.09968011,29.5,1264.7863490311681
2MASS J04433764+0002040,0.021000936,0.18291814,82.0,172.14803783504922
2MASS J04455387-3048204 [de],0.061093632,0.10276300000000001,42.0,1586.7166344045675
2MASS J04510093-3402150 [de],0.000992772,7.398936,69.0,0.004973795867202517
2MASS J05002100+0330501 [de],0.061093632,0.10276300000000001,44.0,1586.7166344045675
2MASS J05012406-0010452 [de],0.020046348,0.14181294,64.0,273.3886765721481
2MASS J05160945-0445499 [de],0.044865635999999987,0.09968011,73.0,1238.4366334263514
2MASS J0523−1403,0.064911984,0.10379063,40.0,1652.6678012497337
SDSS J053951.99-005902.0,0.058229868,0.10379063,41.62,1482.5402334740256
LSR 0602+3910 [de],0.026728464,0.14489583,34.6,349.1718362013974
2MASS J06085283-2753583,0.036274344,0.15517213,102.0,413.18933453695536
2MASS J06244595-4521548 [de],0.053456928,0.10173537,39.0,1416.5667330925376
2MASS J06411840-4322329 [de],0.063957396,0.10379063,65.0,1628.363862996061
DENIS-P J0652197-253450 [de],0.07159410000000001,0.10790115,51.0,1686.5610484742426
2MASS J07075327-4900503,0.068730336,0.10584589,60.0,1682.5866846122526
UGPS J072227.51-054031.2,0.024819288,0.10070774,13.4,671.1824580662799
2MASSI J0727182+171001 [de],0.039138108,0.09659722,29.6,1150.39649605639
2MASS J07290002-3954043 [de],0.035319756,0.09659722,25.8,1038.1626915630836
SDSS J074201.41+205520.5 [de],0.041047284,0.09659722,49.0,1206.513398303043
DENIS-P J0751164-253043 [de],0.067775748,0.10584589,55.0,1659.2174251037488
2MASS J07522390+1612157,0.001918722,6.987883999999999,60.0,0.010776994467105179
DENIS J081730.0-615520,0.042001872,0.09659722,16.1,1234.5718494263695
2MASS J08251968+2115521 [de],0.049638576,0.10070774,35.0,1342.3649161325598
SDSSp J083008.12+482847.4 [de],0.045820224000000014,0.10173537,43.0,1214.2000569364611
LHS 2021,0.084003744,0.11817745,55.0,1649.7053854867902
SDSS J083048.80+012831.1 [de],0.043911048,0.09865248,77.0,1237.470248457338
2MASSI J0835425-081923 [de],0.059184456,0.10276300000000001,23.53,1537.1317395794251
2MASSI J0847287-153237 [de],0.061093632,0.10276300000000001,43.0,1586.7166344045675
2MASS J08533619-0329321,0.07350327599999999,0.10995641,27.6,1667.4106478888941
2MASSI J0859254-194926 [de],0.047729400000000005,0.10070774,50.0,1290.735496281308
2MASSI J0937347+293142,0.040092696,0.09659722,20.0,1178.4549471797168
2MASS 0939−2448,0.030546816,0.09762485,17.4,879.0673874817547
2MASS J09490860-1545485 [de],0.046774812,0.09865248,59.0,1318.174829878469
2MASS J10073369-4555147,0.042001872,0.09659722,46.0,1234.5718494263695
2MASSI J1010148-040649 [de],0.048683988,0.10070774,55.0,1316.5502062069338
2MASS J10224821+5825453 [de],0.025773876,0.14489583,60.0,336.70141347991887
2MASSW J1036530-344138 [de],0.046774812,0.09968011,53.0,1291.1360646359838
2MASS J1047538+212423 [de],0.040092696,0.09659722,34.4,1178.4549471797168
DEN 1048-3956,0.07350327599999999,0.10995641,13.15,1667.4106478888941
Luhman 16B,0.041047284,0.10481826,6.516,1024.6782379282668
Luhman 16A,0.03818352,0.10379063,6.516,972.157530146902
DENIS-P J1058.7−1548,0.061093632,0.10276300000000001,49.0,1586.7166344045675
TWA 28,0.034365168,0.24560357,180.0,156.25218516002334
Cha 110913-773444,0.007636704,0.18497339999999998,163.0,61.21591953721324
SDSS J111010.01+011613.1,0.008591292,0.12742612,63.0,145.11708292998327
2MASS J11145133−2618235,0.031501404,0.09865248,18.2,887.7503956324381
TWA 26,0.02863764,0.22607860000000002,137.0,153.67219470602092
2MASS J11544223-3400390 [de],0.035319756,0.1541445,129.0,407.69802411784036
2MASSW J1155395-372735 [de],0.061093632,0.10276300000000001,31.0,1586.7166344045675
2MASS J12074836-3900043,0.016227996,0.17572473,217.0,144.13720666656857
2MASSI J1217110-031113 [de],0.040092696,0.09659722,36.0,1178.4549471797168
2M 1237+6526,0.039138108,0.09659722,45.6,1150.39649605639
TWA 29,0.001909176,2.569075,262.0,0.07933583172022833
SDSSp J125453.90-012247.4 [de],0.044865635999999987,0.10070774,38.0,1213.291366504429
